id,notification_type,message,is_read,created_at,from_user_id,post_id,reply_id,user_id
359,like,Minka liked your post,f,2026-04-05 11:33:02.142244+00,33,115,,50
360,like,Minka liked your post,f,2026-04-05 11:33:33.858988+00,33,112,,41
361,like,Minka liked your reply,f,2026-04-05 11:33:36.562685+00,33,112,34,45
362,reply,newonehere replied to your post,f,2026-04-05 17:53:21.193604+00,50,106,44,45
363,like,Minka liked your post,f,2026-04-06 01:50:44.734471+00,33,106,,45
364,like,Minka liked your reply,f,2026-04-06 01:51:10.886838+00,33,106,44,50
365,reply,newonehere replied to your post,f,2026-04-06 04:38:03.288244+00,50,116,45,33
366,like,newonehere liked your post,f,2026-04-06 04:47:56.00405+00,50,112,,41
367,reply,newonehere replied to your post,f,2026-04-06 04:49:24.702106+00,50,112,46,41
368,like,Aarti liked your reply,f,2026-04-06 05:48:58.327461+00,48,114,30,45
369,like,Aarti liked your post,f,2026-04-06 05:49:00.221873+00,48,114,,41
370,like,Aarti liked your post,f,2026-04-06 06:08:43.765953+00,48,117,,31
371,reply,Aarti replied to your post,f,2026-04-06 06:09:36.786594+00,48,117,47,31
372,like,swati liked your reply,f,2026-04-06 06:18:59.699451+00,31,117,47,48
373,reply,newonehere replied to your post,f,2026-04-06 06:19:12.085115+00,50,117,48,31
374,like,Gauri liked your reply,f,2026-04-06 06:42:56.57229+00,51,117,48,50
376,reply,Gauri replied to your post,f,2026-04-06 06:48:08.236513+00,51,117,50,31
377,reply,newonehere replied to your post,f,2026-04-06 06:57:39.016742+00,50,117,51,31
378,like,Gauri liked your reply,f,2026-04-06 07:01:54.155127+00,51,117,51,50
379,like,Gauri liked your reply,f,2026-04-06 07:01:58.830535+00,51,117,47,48
380,reply,newonehere replied to your post,f,2026-04-06 07:11:59.885952+00,50,117,52,31
381,reply,newonehere replied to your post,f,2026-04-06 07:14:22.118673+00,50,121,53,51
382,like,Gauri liked your post,f,2026-04-06 07:19:48.81766+00,51,116,,33
384,reply,Gauri replied to your post,f,2026-04-06 07:22:51.692618+00,51,116,55,33
385,like,Gauri liked your reply,f,2026-04-06 07:23:11.83129+00,51,116,45,50
386,reply,Gauri replied to your post,f,2026-04-06 07:25:56.971444+00,51,120,56,33
387,reply,Gauri replied to your post,f,2026-04-06 07:31:07.470923+00,51,119,57,48
388,like,Shimpy liked your post,f,2026-04-06 07:37:36.642953+00,32,121,,51
389,like,Shimpy liked your reply,f,2026-04-06 07:37:37.865406+00,32,121,53,50
390,like,Shimpy liked your post,f,2026-04-06 07:37:56.755844+00,32,120,,33
391,like,Shimpy liked your reply,f,2026-04-06 07:38:00.204274+00,32,120,56,51
392,like,Shimpy liked your post,f,2026-04-06 07:38:43.855383+00,32,115,,50
393,like,Ojasvi liked your post,f,2026-04-06 07:51:22.707755+00,37,122,,32
394,like,Ojasvi liked your post,f,2026-04-06 07:51:58.098322+00,37,121,,51
395,like,Ojasvi liked your reply,f,2026-04-06 07:51:59.973803+00,37,121,53,50
396,like,Minka liked your reply,f,2026-04-06 08:51:34.784743+00,33,120,56,51
397,like,Neelu liked your post,f,2026-04-06 16:12:53.576245+00,54,124,,52
398,like,Neelu liked your post,f,2026-04-06 16:13:22.462558+00,54,116,,33
399,like,Neelu liked your reply,f,2026-04-06 16:13:44.312798+00,54,116,45,50
400,like,Neelu liked your reply,f,2026-04-06 16:14:15.941565+00,54,116,55,51
401,like,Neelu liked your post,f,2026-04-06 18:18:53.90383+00,54,84,,48
402,like,Neelu liked your post,f,2026-04-07 03:43:20.770637+00,54,114,,41
403,like,Neelu liked your reply,f,2026-04-07 03:43:26.26292+00,54,114,30,45
404,like,Meena liked your post,f,2026-04-07 03:45:33.409088+00,43,126,,54
405,like,Meena liked your post,f,2026-04-07 03:45:47.39831+00,43,124,,52
406,like,Ojasvi liked your post,f,2026-04-07 05:32:55.954922+00,37,126,,54
407,reply,Ojasvi replied to your post,f,2026-04-07 05:37:25.80127+00,37,126,58,54
408,like,Ojasvi liked your post,f,2026-04-07 05:43:45.19879+00,37,125,,54
409,like,Ojasvi liked your post,f,2026-04-07 05:44:01.670247+00,37,117,,31
410,like,Ojasvi liked your reply,f,2026-04-07 05:44:03.592406+00,37,117,47,48
411,like,Ojasvi liked your reply,f,2026-04-07 05:44:06.586648+00,37,117,48,50
412,like,Ojasvi liked your reply,f,2026-04-07 05:44:08.605243+00,37,117,50,51
413,like,Ojasvi liked your reply,f,2026-04-07 05:44:22.564625+00,37,117,51,50
414,like,Ojasvi liked your reply,f,2026-04-07 05:44:27.37923+00,37,117,52,50
415,like,Ojasvi liked your post,f,2026-04-07 05:44:57.002264+00,37,118,,31
416,like,Ojasvi liked your post,f,2026-04-07 05:45:12.778194+00,37,115,,50
417,like,Ojasvi liked your post,f,2026-04-07 06:04:01.963648+00,37,124,,52
418,like,Ojasvi liked your post,f,2026-04-07 06:04:10.73867+00,37,79,,39
419,like,Ojasvi liked your reply,f,2026-04-07 06:04:14.256494+00,37,79,35,45
420,reply,Ojasvi replied to your post,f,2026-04-07 06:04:27.677776+00,37,79,59,39
421,like,malti liked your post,f,2026-04-07 06:08:40.933756+00,57,126,,54
422,like,malti liked your reply,f,2026-04-07 06:08:44.063456+00,57,126,58,37
423,like,malti liked your post,f,2026-04-07 06:09:05.10291+00,57,125,,54
424,reply,malti replied to your post,f,2026-04-07 06:11:20.506428+00,57,125,60,54
425,like,malti liked your post,f,2026-04-07 06:14:51.615788+00,57,116,,33
426,like,malti liked your reply,f,2026-04-07 06:14:53.973559+00,57,116,45,50
427,like,malti liked your reply,f,2026-04-07 06:14:57.890689+00,57,116,55,51
428,like,suman liked your post,f,2026-04-08 06:50:18.645526+00,65,131,,68
429,like,suman liked your post,f,2026-04-08 06:50:30.294295+00,65,128,,55
430,like,Primla liked your post,f,2026-04-09 05:31:09.919567+00,63,131,,68
431,like,Primla liked your post,f,2026-04-09 05:31:24.079615+00,63,118,,31
432,like,Shimpy liked your post,f,2026-04-09 05:53:25.449255+00,32,133,,61
433,like,Shimpy liked your post,f,2026-04-09 05:54:15.107858+00,32,124,,52
434,like,Shimpy liked your post,f,2026-04-09 05:54:30.225522+00,32,127,,57
435,like,Shimpy liked your post,f,2026-04-09 05:55:04.481016+00,32,117,,31
436,reply,Shimpy replied to your post,f,2026-04-09 05:55:25.911556+00,32,117,61,31
437,like,Shimpy liked your reply,f,2026-04-09 05:56:11.557077+00,32,117,48,50
